Title,Price,City,URL
Mid Century Modern Twin Bedroom Set,$500,"Windsor, VT",https://nh.craigslist.org/fuo/6172542531.html
Vaughn Bassett waterfall vanity and nightstand,$145,,https://nh.craigslist.org/fuo/6169202787.html
Vaughn Bassett waterfall vanity and nightstand,$145,,https://nh.craigslist.org/fuo/6169202787.html
End Table (1) - Brass & Glass,$35,"Manchester, NH",https://nh.craigslist.org/fuo/6172263351.html
Queen Bedroom Set,$75,Farmington,https://nh.craigslist.org/fuo/6162223575.html
Queen Bedroom Set,$75,Farmington,https://nh.craigslist.org/fuo/6172250311.html
Armoire,$150,Somersworth,https://nh.craigslist.org/fuo/6171894261.html
Industrial Tables,,Danielson,https://nh.craigslist.org/fuo/6153278953.html
Great Furniture and Fridge,$350,Hampstead,https://nh.craigslist.org/fuo/6166833170.html
Corner Computer Desk,$65,Bedford,https://nh.craigslist.org/fuo/6170896819.html
"Queen Bedroom Set - Bed, 2 Bureaus, Nightstand [$690 or BEST OFFER]",$690,"Concord, NH",https://nh.craigslist.org/fuo/6170928026.html
Sweet Vintage Bedroom Set,$450,"Newton, NH",https://nh.craigslist.org/fuo/6170716683.html
Computer desk,$80,,https://nh.craigslist.org/fuo/6167025532.html
Glass Computer Desk,$75,,https://nh.craigslist.org/fuo/6169927026.html
"Moving Sale! Bedroom Furniture,TV Cabinet!",$1,Plymouth NH/Waterville Valley NH,https://nh.craigslist.org/fuo/6162867350.html
"Chatham Furniture Reproductions King Set ""Kittery Point""",$3100,Seacoast NH,https://nh.craigslist.org/fuo/6163992853.html
Home Needs & Wants,$5345678,Hampton NH,https://nh.craigslist.org/fuo/6160031679.html
Foyer Chairs - Lounge Chairs - Waiting Room Chairs - CLOSEOUT SALE,,Salem,https://nh.craigslist.org/fud/6169418208.html
triple dresser with mirrored hutch,$350,,https://nh.craigslist.org/fuo/6168484629.html
Armoire,$300,,https://nh.craigslist.org/fuo/6168484942.html
colonial nightstand,$65,,https://nh.craigslist.org/fuo/6168491683.html
ANTIQUE FURNITURE AND FURNITURE SETS,,South Hampton,https://nh.craigslist.org/fuo/6134260525.html
QUEEN BED FRAME AND DINING ROOM SET,,South Hampton,https://nh.craigslist.org/fuo/6134280556.html
Hardwood Bedroom Set,$350,Merrimack,https://nh.craigslist.org/fuo/6168112930.html
Bedroom furniture,$175,Bedford,https://nh.craigslist.org/fuo/6168177197.html
Bedroom Furniture,$200,Rochester,https://nh.craigslist.org/fuo/6168203107.html
Bedroom Furniture & headboard,$20060,Rochester,https://nh.craigslist.org/fuo/6168217127.html
Elegant 4-Poster Queen bed set with dresser/mirror & 2 nigh,$1800,,https://nh.craigslist.org/fuo/6168339993.html
Modern Computer Desk,$270,,https://nh.craigslist.org/fuo/6168399178.html
Twin bunk beds and nightstand,$70,Manchester,https://nh.craigslist.org/fuo/6168408844.html
Twin bunk beds and nightstand,$70,Manchester,https://nh.craigslist.org/fuo/6168408844.html
Colonial 4 post bed,$225,,https://nh.craigslist.org/fuo/6168484208.html
Nightstand,$65,,https://nh.craigslist.org/fuo/6168864911.html
BEDROOM SETS ***NEW*** $599!!,,"48 Bridge St Nashua,NH",https://nh.craigslist.org/fud/6168949059.html
OAK BEDROOM SET W/KING SIZE BED,$550,EPSOM NH,https://nh.craigslist.org/fuo/6169172550.html
Furniture and Home Furnishings - Moving Sale,$1,Hooksett,https://nh.craigslist.org/fuo/6161740814.html
"Conant Ball maple double poster bed, bureau w/mirror, night stand",$240,,https://nh.craigslist.org/fuo/6134734396.html
"Conant Ball maple double poster bed, bureau w/mirror, night stand",$240,,https://nh.craigslist.org/fuo/6134734396.html
"Girls dresser, desk and nightstand",$495,Merrimack,https://nh.craigslist.org/fuo/6155044742.html
"Girls dresser, desk and nightstand",$495,Merrimack,https://nh.craigslist.org/fuo/6155044742.html
Two Oak End Tables/Night Stands,$30,HAMPSTEAD,https://nh.craigslist.org/fuo/6169929703.html
Bernhardt complete set bedroom furniture dresser armoire nightstands,$350,Londonderry,https://nh.craigslist.org/fuo/6158459573.html
Drexel Touraine White Nightstands- A Pair,$295,Lyndeborough,https://nh.craigslist.org/fuo/6128616189.html
Ethan Allen Nightstands- A Pair,$350,Lyndeborough,https://nh.craigslist.org/fuo/6170142847.html
King bed set,$1000,Manchester,https://nh.craigslist.org/fuo/6170317730.html
"POTTERY BARN KIDS Thomas Bedroom 3 Piece Set - Twin Trundle Bed, Bureau, Night S",$1100,Bedford,https://nh.craigslist.org/fuo/6170406961.html
MUST SELL - King Bedroom Set,$1500,,https://nh.craigslist.org/fuo/6166981034.html
Blackhawk Oak Dresser and Nightstands Set,$250,Jaffrey,https://nh.craigslist.org/fuo/6170727968.html
Home Needs & Wants,$5345678,Hampton NH,https://nh.craigslist.org/fuo/6138449795.html
Girls Bedroom Set,$300,Hampton,https://nh.craigslist.org/fuo/6171550877.html
White/Pink Dresser Set,$150,Bedford,https://nh.craigslist.org/fuo/6171847295.html
Home Needs & Wants,$5345678,Hampton NH,https://nh.craigslist.org/fuo/6139127169.html
Solid Maple Bedroom Set with Full Size Bed,$125,"Salem, NH",https://nh.craigslist.org/fuo/6171965716.html
Ethan Allen Desk,$250,Merrimack,https://nh.craigslist.org/fuo/6147517694.html
Office Desks,$25,Merrimack,https://nh.craigslist.org/fuo/6164943425.html
IKEA IVORY NIGHTSTAND TV STAND Table Dresser HEAVY DUTY,$45,Salem,https://nh.craigslist.org/fuo/6150732231.html
Moving Sale,,Merrimack,https://nh.craigslist.org/fuo/6166856822.html
Glass/Metal Computer Desk with built in shelves.  $100 OBO,$100,"Concord, NH",https://nh.craigslist.org/fuo/6161681234.html
Bedroom set,$450,Wolfeboro,https://nh.craigslist.org/fuo/6172698747.html
Oak Bedroom furniture,$315,Gilford NH,https://nh.craigslist.org/fuo/6172699715.html
Full bed set,$150,Gilford NH,https://nh.craigslist.org/fuo/6172712689.html
Teal night stand / side table,$30,Manchester,https://nh.craigslist.org/fuo/6133501554.html
Teal night stand / side table,$30,Manchester,https://nh.craigslist.org/fuo/6133501554.html
Maple and black nightstand - solid wood - with drawer,$35,"Methuen, MA",https://nh.craigslist.org/fuo/6144974519.html
Maple and black nightstand - solid wood - with drawer,$35,"Methuen, MA",https://nh.craigslist.org/fuo/6144974519.html
Armoire and night stand,$45,,https://nh.craigslist.org/fuo/6132208477.html
White Whicker Dresser & Nightstand,$50,Bedford,https://nh.craigslist.org/fuo/6162914513.html
