City,Description,Title,URL,Price,Condition
manchester,"
this is a matching dresser/changing table and shelf.
The furniture is in excellent condition.    ",dresser and shelf,https://nh.craigslist.org/fuo/6173501462.html,$150,excellent
"Weare, Concord, Bow, Chichester, twin mattress","
I'm looking to sell a Brand Name Twin Pillow top mattress and box spring right away. It is in brand new condition and wrapped in plastic. I can let it go for $119 to the first person who comes and gets it. My phone number is 603-707-2943.
web http://nhbeddeals dot com
twin mattress, twin mattresses, twin pillowtop mattress
twin pillowtop mattresses, twin size mattress set, twin size mattresses
King mattress, King Size Pillowtop, Queen Size Pillowtop, Full Size Pillowtop, Twin Size Pillowtop, Bed, Memory foam
Queen mattress, King Pillowtop, Manchester, Queen Pillowtop, Full Pillowtop, Twin Pillowtop, Bed, Memory foam
Full mattress, King Size Pillow Top, Queen Size Pillow Top, Full Size Pillow Top, Twin Size Pillow Top, Bed, Memory foam
Twin mattress, King Pillow-Top, Queen Pillow-Top, Full Pillow-Top, Twin Pillow-Top, Bed, Memory foam
Mattress, Mattresses, Twin Size Mattress, Full Size Mattress, Queen Size Mattress, King Size Mattress, Frame, Bed Frame
Concord, Candia Hooksett, Laconia, Bristol, Meredith, Belmont, Franklin, Tilton, Loudon, Bow, Weare, Pembroke, Allenstown, Barnstead, Penacook, Danbury, Warner, Hill, Newport, New London, Canterbury, Contoocook, Wilmot, Webster, Auburn, Seabrook, Dover, Rochester, Portsmouth, Madbury, Alton, Alton Bay, Hillsboro, Milford, Peterboro, Keene, Swanzey Mattress Store, Bed    ",In Wrappers Twin Size Pillowtop Mattress and box -twin size mattresses,https://nh.craigslist.org/fud/6173515288.html,$119,new
Manchester,"
Beautiful chair. $15
Call ted
345.8717    ",chair,https://nh.craigslist.org/fuo/6169565389.html,$15,excellent
Merrimack,"
Tall beautiful Mid-Century Lamp with pull string.  35"" tall
Shade does have condition issues.    ",Beautiful Mid-Century Lamp,https://nh.craigslist.org/fuo/6147599577.html,$100,excellent
Concord,"
I have a CB2 mirror- a slight ding in upper right corner. 
47 inches in length
21 in wid 
7 in front to back from ledge    ",Mirror,https://nh.craigslist.org/fuo/6173507172.html,$30,good
Dover,"
Purchased new for $300 this past fall. In like-new condition. All weather wicker. Can adjust lounge setting with easy hooks on the back of the chair. Lounge chair folds flat for easy storage. Plenty of room in width and length to comfortably fit someone 6 feet tall, with room to spare.
There is nothing wrong with this chair. I'm keeping the matching lounger (each one was $300), but I want to buy a table and chairs for dining on my patio... so I need to sell. This chair has not gone through a season yet, so it is in great shape.
$150. Cash only. Pick up in Dover.    ",All weather wicker lounge chair,https://nh.craigslist.org/fuo/6158086816.html,$150,like new
Nashua,"
Small three shelf bookcase. Solid pine    ",Pine Bookcase,https://nh.craigslist.org/fuo/6173502985.html,$15,excellent
Dover,"
Pair of parson's dining chairs. Custom fabric is in excellent condition, with a beautiful, unique Ikat pattern. 
No snags or tears anywhere. The material is very soft. These chairs are quite comfortable. Features elegant skirted bottoms. Never used, so they are in like-new condition.
41 inches high at tallest point of chair
18 inches wide
17 inches deep
Cash only. Pick up in Dover. $199 for the pair.",Pair of parson's dining chairs w/custom fabric,https://nh.craigslist.org/fuo/6158073388.html,$199,like new
Hooksett,"
Table and chair set for sale. Great condition.    ",Table and Chair Set,https://nh.craigslist.org/fuo/6155882040.html,$100,excellent
Somersworth,"
See the pictures!  I'll let this go for $75 because I need to make the room.
This piece is solid.  It is missing the front trim cover on the bottom left. You can use the one on the right to duplicate a match!
Has power cable strip built in to side.
First one to arrange a pickup time gets it!    ",Wood Armoire TV Cabinet,https://nh.craigslist.org/fuo/6173515022.html,$75,good
8Stonewall Dr Rochester,"
Solid Pine wood twin headboard    ",Twin Headboard,https://nh.craigslist.org/fuo/6173370611.html,$30,excellent
"concord, laconia, meredith, Northfield, Full mattress","
Best Prices in Concord area Period!!!  Our prices can't be beat!!!!
I have to sell a Name Brand FULL Size Euro Pillowtop mattress & box-base today. It's in excellent shape and still in the original wrappers. I can let it go for $139 to the first person who comes and gets it. Call me at 603-707-2943.  Delivery available,
nhbeddeals dot com
full mattress, full mattresses, full pillowtop mattress
full pillowtop mattresses, full size mattress set, full size mattresses
King mattress, King Size Pillowtop, Queen Size Pillowtop, Full Size Pillowtop, Twin Size Pillowtop, Bed, Memory foam
Queen mattress, King Pillowtop, Queen Pillowtop, Full Pillowtop, Twin Pillowtop, Bed, MKanchester Memory foam
Full mattress, King Size Pillow Top, Queen Size Pillow Top, Full Size Pillow Top, Twin Size Pillow Top, Bed, Memory foam
Twin mattress, King Pillow-Top, Queen Pillow-Top, Full Pillow-Top, Twin Pillow-Top, Bed, Memory foam
Mattress, Mattresses, Twin Size Mattress, Full Size Mattress, Queen Size Mattress, King Size Mattress, Frame, Bed Frame
Concord, Candia Hooksett, Laconia, Bristol, Meredith, Belmont, Franklin, Tilton, Loudon, Bow, Weare, Pembroke, Allenstown, Barnstead, Penacook, Danbury, Warner, Hill, Newport, New London, Canterbury, Contoocook, Wilmot, Webster, Auburn, Seabrook, Dover, Rochester, Portsmouth, Madbury, Alton, Alton Bay, Hillsboro, Milford, Peterboro, Keene, Swanzey Mattress Store, Bed    ",Brand New IN Wrapper Full size Pillowtop Mattress and boxspring,https://nh.craigslist.org/fud/6173509037.html,$139,new
Portsmouth NH,"
Great condition. Includes faucets and towel bars. The vanity is 83"" W x 24"" D x 34"" H. Can deliver 15 miles from Portsmouth.    ",Double Bathroom Vanity,https://nh.craigslist.org/fuo/6173383753.html,$500,like new
Merrimack,"
Queen sized Ikea MALM Bed Frame with slats.  Also have the under bed storage still new in box.  Bed is is great condition, its a dark wood color.  I think they call it Black/Brown which is a good description.  We added some brackets for stability which will also make it easier to take apart and reassemble.   We will be disassembling it tonight (Monday), will put in our garage for easy pick up. 
 Asking $30 and would like it gone ASAP.    ","Queen Size Ikea Malm Bed Frame, Slats & Storage",https://nh.craigslist.org/fuo/6170225021.html,$30,good
Nashua,"
*** I WILL ONLY REPLY TO QUERIES THAT INCLUDE A TELEPHONE NUMBER ***
This is a blue leather sofa. It has a few scratches here and there, but has plenty of life left and is very comfortable.    ",Leather Sofa,https://nh.craigslist.org/fuo/6173375894.html,$75,good
wincheser,"
We are moving and getting rid of our couches. They both recline and are in great shape. Pick up and cash only. Love seat is about 5.5 feet wide, 3.5 feet tall and about 32 inches deep. Recliner is about 3 feet wide. $100 for both. 
We will be in and our of service as we move into our new place but will try to respond ASAP.    ",Beige recliner and reclining love seat,https://nh.craigslist.org/fuo/6170433688.html,$100,good
winchester,"
Shelving unit with two drawers. It is brand new but the right hand drawer is warped on the bottom and has a bit of trouble opening. Pick up and cash only $20.    ",Shelving unit w/ two drawers,https://nh.craigslist.org/fuo/6170434026.html,$20,good
Newmarket,"
Moving - price reduced, reasonable offers considered! Quality craftsmanship demonstrated in this Moosehead (Maine) furniture. Was unused for many years, and only shows light wear after 6 years in a smoke free home. Willing to break up the set, but would consider lowering the price for all 3 to go together. Pick up only. Dimensions:
Night Stand = 22inW x 16inD x 25inH = $75
Bookshelf = 30inW x 17inD x 76inH = $125
Dresser = 50.5inW x 18inD x 33inH = $200    ","Bedroom Set - - Bookshelf, 6 Drawer Dresser, Nightstand",https://nh.craigslist.org/fuo/6173238020.html,$350,excellent
Nashua,"
Modern Unused Breakfast Dining Set Used for staging for 1 Month
Purchased in May 2017 from Alto Decor
Relocating!!!    ","Modern Round Breakfast Dining Set - Must Pick up by Friday, June 16, 2",https://nh.craigslist.org/fuo/6173244165.html,$1100,new
Meredith N.H.,"
Stone like top measuring 42""x 42""x 1.25"" thick and very heavy. Overall height off floor is 17"". Base is black wrought iron. Condition is excellent.. Top surface and edges have a polyurathane finish  for extra durability. Matching end stand is the same material. Top is 24""x 27""x 1.25 thick. Overall height off floor is 23.50"". Tops are off white in color. I can pick up the small top even though it is heavy but the large top is at least two person.    ",Large Coffee Table And End Stand,https://nh.craigslist.org/fuo/6150422906.html,$150,excellent
